,codeuai,NOM_COLLEGE,Nom_commune,effectif,IPS,type_secteur,NB_FOYERS_COLLEGIENS,NB_COLLEGIENS,longitude,latitude,C19_POP15P,C19_POP15ACT,DIFF_LOG0ACT,DIFF_LOG1ACT,DIFF_LOG2ACT,DIFF_DIP0,DIFF_DIPBRE,DIFF_DIPCAP,DIFF_DIPBAC,DIFF_DIPMAS,DIFF_CS1,DIFF_CS2,DIFF_CS3,DIFF_CS4,DIFF_CS5,DIFF_CS6,DIFF_CS7,DIFF_CS8,DIFF_MONOPARENT,DIFF_EMPLOICDI,DIFF_LOGSOCIAL,DIFF_ACTIV_ACTIFS,DIFF_ACTIV_CHOMEURS,DIFF_ACTIV_ETUDIANT_STAGE,DIFF_ACTIV_AU_FOYER,DIFF_IMMIGRES,cat_CS1,cat_CS2,cat_CS3,cat_CS4,cat_CS5,cat_CS6,cat_CS7,cat_CS8,cat_LOG0ACT,cat_LOG1ACT,cat_LOG2ACT,cat_DIP0,cat_DIPBRE,cat_DIPCAP,cat_DIPBAC,cat_DIPMAS,cat_MONOPARENT,cat_EMPLOICDI,cat_LOGSOCIAL,cat_ACTIV_ACTIFS,cat_ACTIV_CHOMEURS,cat_ACTIV_ETUDIANT_STAGE,cat_ACTIV_AU_FOYER,cat_IMMIGRES,%_LOG0ACT,%_LOG1ACT,%_LOG2ACT,%_DIP0,%_DIPBRE,%_DIPCAP,%_DIPBAC,%_DIPMAS,%_CS1,%_CS2,%_CS3,%_CS4,%_CS5,%_CS6,%_CS7,%_CS8,%_MONOPARENT,%_EMPLOICDI,%_LOGSOCIAL,%_ACTIV_ACTIFS,%_ACTIV_CHOMEURS,%_ACTIV_ETUDIANT_STAGE,%_ACTIV_AU_FOYER,%_IMMIGRES,C19_POP15P_CS1,C19_POP15P_CS2,C19_POP15P_CS3,C19_POP15P_CS4,C19_POP15P_CS5,C19_POP15P_CS6,C19_POP15P_CS7,C19_POP15P_CS8,DIPLOM_AUCUN,DIPLOM_BREVET,DIPLOM_CAP_BAC,DIPLOM_BACPRO_BTS_LIC,DIPLOM_MASTER_DOC,ACTIF_LOG_AUCUN,ACTIF_LOG_UN,ACTIF_LOG_DEUX,MONOPARENT,EMPLOICDI,LOGSOCIAL,ACTIV_ACTIFS,ACTIV_CHOMEURS,ACTIV_ETUDIANT_STAGE,ACTIV_AU_FOYER,IMMIGRES
53,0594628K,Collège Jacques Monod,Pérenchies,429.0,112.6,exclusif,1404.0,2202.0,2.97351,50.6697,12143.0,12143.0,-7.0,-7.7,14.3,-5.6,-0.9,-2.9,6.4,3.0,0.7,1.8,1.6,1.8,-1.1,-2.5,6.4,-8.8,-7.2,9.5,-14.9,8.2,-5.5,-0.2,-1.3,-9.7,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,b1,b1,A2,b1,moyen,moyen,A1,moyen,b1,A1,b2,A1,b1,moyen,moyen,b1,5.3,25.6,65.5,6.3,3.8,26.9,44.3,18.7,0.8,4.4,13.7,16.9,14.9,8.9,27.3,13.1,16.5,76.5,11.5,91.6,6.3,0.1,0.7,3.9,100.0,534.0,1662.0,2054.0,1808.0,1083.0,3313.0,1589.0,89.0,54.0,377.0,622.0,262.0,74.0,359.0,919.0,231.0,1074.0,161.0,1286.0,89.0,2.0,10.0,55.0
54,0594632P,Collège Raymond Devos,Hem,533.0,89.3,exclusif,724.0,1161.0,3.18778,50.66115,15939.0,15939.0,-2.4,-2.5,5.4,-0.2,0.5,1.4,-4.2,2.4,-0.0,0.1,-1.0,-0.4,-1.9,0.6,4.8,-2.3,-2.8,1.8,3.0,1.1,-0.9,-0.3,-0.2,-3.1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.9,30.8,56.6,11.7,5.2,31.2,33.7,18.1,0.1,2.7,11.1,14.7,14.1,12.0,25.7,19.6,20.9,68.8,29.4,84.5,10.9,0.0,1.8,10.5,15.0,437.0,1770.0,2339.0,2244.0,1907.0,4104.0,3123.0,85.0,38.0,226.0,244.0,131.0,72.0,223.0,410.0,151.0,498.0,213.0,612.0,79.0,0.0,13.0,76.0
55,0594634S,Collège Théodore Monod,Roubaix,417.0,72.2,exclusif,453.0,734.0,3.18259,50.67212,10920.0,10922.0,14.0,12.6,-26.3,9.1,1.9,7.9,-8.5,-10.2,-0.0,0.0,-6.5,-3.3,3.1,3.7,-2.6,5.6,11.0,-17.1,26.1,-14.5,9.8,0.1,2.2,12.2,moyen,moyen,b1,moyen,moyen,moyen,moyen,A1,A2,A2,b2,A1,moyen,A1,b1,b2,A2,b2,A2,b2,A1,moyen,moyen,A2,26.3,45.9,24.9,21.0,6.6,37.7,29.4,5.5,0.1,2.6,5.6,11.8,19.1,15.1,18.3,27.5,34.7,49.9,52.5,68.9,21.6,0.4,4.2,25.8,7.0,285.0,607.0,1287.0,2087.0,1644.0,2001.0,3004.0,95.0,30.0,171.0,133.0,25.0,119.0,208.0,113.0,157.0,226.0,238.0,312.0,98.0,2.0,19.0,117.0
56,0594638W,Collège Roger Salengro,Houplines,555.0,98.6,exclusif,1416.0,2164.0,2.91843,50.68749,12706.0,12707.0,-4.0,-6.8,10.2,-2.5,0.2,5.2,3.1,-6.0,0.5,0.5,-4.4,0.6,2.4,2.2,4.1,-6.1,-3.8,7.6,-8.8,5.8,-4.5,0.0,-0.7,-8.7,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,b1,A2,moyen,moyen,A1,moyen,b1,moyen,A1,b1,A1,moyen,moyen,moyen,b1,8.3,26.5,61.4,9.4,4.9,35.0,41.0,9.7,0.6,3.1,7.7,15.7,18.4,13.6,25.0,15.8,19.9,74.6,17.6,89.2,7.3,0.3,1.3,4.9,79.0,398.0,982.0,1994.0,2341.0,1733.0,3175.0,2005.0,133.0,69.0,496.0,580.0,138.0,118.0,375.0,869.0,282.0,1057.0,249.0,1263.0,104.0,4.0,19.0,70.0
57,0594865T,Collège Anatole France,Ronchin,301.0,87.6,exclusif,328.0,512.0,3.08053,50.61182,8643.0,8645.0,7.2,5.7,-11.6,5.5,-0.7,0.1,-3.1,-1.7,-0.1,-0.6,-2.3,0.7,0.9,-1.5,-0.4,3.2,3.4,-9.1,18.4,-9.6,5.0,0.0,0.7,17.2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,A1,b2,A1,moyen,moyen,moyen,moyen,moyen,b1,A2,b1,moyen,moyen,moyen,A2,19.5,39.0,39.6,17.4,4.0,29.9,34.8,14.0,0.0,2.0,9.8,15.8,16.9,9.9,20.5,25.1,27.1,57.9,44.8,73.8,16.8,0.3,2.7,30.8,3.0,171.0,848.0,1363.0,1464.0,855.0,1773.0,2168.0,57.0,13.0,98.0,114.0,46.0,64.0,128.0,130.0,89.0,190.0,147.0,242.0,55.0,1.0,9.0,101.0
58,0594881K,Collège Martha Desrumaux,Lille,364.0,91.4,exclusif,452.0,708.0,3.08484,50.63901,14535.0,14537.0,6.7,5.6,-9.8,2.0,-0.1,-7.0,-8.3,13.1,-0.1,0.0,10.5,1.8,-1.4,-3.6,-6.2,-1.1,8.2,-10.8,17.4,-8.0,5.0,0.1,1.1,12.3,moyen,moyen,A2,moyen,moyen,moyen,b1,moyen,A1,A1,b1,moyen,moyen,b1,b1,A2,A1,b2,A2,b1,moyen,moyen,moyen,A2,19.0,38.9,41.4,13.9,4.6,22.8,29.6,28.8,0.0,2.6,22.6,16.9,14.6,7.8,14.7,20.8,31.9,56.2,43.8,75.4,16.8,0.4,3.1,25.9,0.0,379.0,3282.0,2455.0,2120.0,1139.0,2134.0,3028.0,63.0,21.0,103.0,134.0,130.0,86.0,176.0,187.0,144.0,254.0,198.0,341.0,76.0,2.0,14.0,117.0
59,0595163S,Collège Lavoisier,Lambersart,359.0,104.5,exclusif,379.0,565.0,3.02323,50.64257,11608.0,11607.0,-5.4,2.6,3.7,-6.4,-1.8,-10.5,1.4,17.5,-0.0,0.1,7.9,3.1,-4.5,-6.5,5.3,-5.6,2.9,4.8,-9.2,6.6,-5.5,0.0,-0.4,-2.5,moyen,moyen,A1,moyen,moyen,b1,A1,b1,b1,moyen,moyen,b1,moyen,b2,moyen,A2,moyen,moyen,b1,A1,b1,moyen,moyen,moyen,6.9,35.9,54.9,5.5,2.9,19.3,39.3,33.2,0.1,2.7,20.0,18.2,11.5,4.9,26.2,16.3,26.6,71.8,17.2,90.0,6.3,0.3,1.6,11.1,11.0,317.0,2326.0,2118.0,1331.0,574.0,3039.0,1891.0,21.0,11.0,73.0,149.0,126.0,26.0,136.0,208.0,101.0,272.0,65.0,341.0,24.0,1.0,6.0,42.0
60,0595166V,Collège Hergé,Gondecourt,,,exclusif,270.0,411.0,,,2749.0,2749.0,-8.6,-7.0,11.8,-3.4,0.1,-3.1,3.6,2.8,0.1,-0.1,2.2,2.4,1.8,-1.2,5.2,-10.5,-8.9,10.8,-2.7,5.9,-2.5,-0.3,-1.3,-11.4,moyen,moyen,moyen,moyen,moyen,moyen,A1,b2,b1,b1,A2,moyen,moyen,moyen,moyen,moyen,b1,A2,moyen,A1,moyen,moyen,moyen,b2,3.7,26.3,63.0,8.5,4.8,26.7,41.5,18.5,0.2,2.5,14.3,17.5,17.8,10.2,26.1,11.4,14.8,77.8,23.7,89.3,9.3,0.0,0.7,2.2,5.0,69.0,393.0,481.0,489.0,281.0,718.0,313.0,23.0,13.0,72.0,112.0,50.0,10.0,71.0,170.0,40.0,210.0,64.0,241.0,25.0,0.0,2.0,6.0
61,0595167W,Collège Baudelaire,Roubaix,389.0,78.9,exclusif,603.0,1014.0,3.16864,50.67987,16123.0,16123.0,19.7,6.3,-24.7,12.8,0.4,4.0,-11.4,-5.9,-0.1,0.3,-4.3,-3.3,-1.1,1.1,-1.1,8.6,9.1,-23.4,15.6,-21.0,9.6,0.2,5.5,20.6,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,A2,A1,b2,A2,moyen,moyen,b2,b1,A1,b2,A2,b2,A1,moyen,A1,A2,32.0,39.6,26.5,24.7,5.1,33.8,26.5,9.8,0.0,2.9,7.8,11.8,14.9,12.5,19.8,30.5,32.8,43.6,42.0,62.4,21.4,0.5,7.5,34.2,1.0,467.0,1257.0,1897.0,2396.0,2009.0,3186.0,4910.0,149.0,31.0,204.0,160.0,59.0,193.0,239.0,160.0,198.0,263.0,253.0,376.0,129.0,3.0,45.0,206.0
62,0595168X,Collège Maxence Van Der Meersch,Roubaix,542.0,63.7,exclusif,535.0,936.0,3.20722,50.68128,10628.0,10627.0,27.9,7.4,-33.8,22.1,3.9,6.1,-18.5,-13.6,-0.0,-0.4,-9.6,-7.1,-0.4,6.2,-3.8,15.0,7.0,-30.2,21.3,-29.4,17.2,0.1,5.3,28.1,moyen,moyen,b1,b1,moyen,A1,moyen,A2,A2,A1,b2,A2,moyen,A1,b2,b2,A1,b2,A2,b2,A2,moyen,A1,A2,40.2,40.7,17.4,34.0,8.6,35.9,19.4,2.1,0.1,2.2,2.5,8.0,15.6,17.6,17.1,36.9,30.7,36.8,47.7,54.0,29.0,0.4,7.3,41.7,6.0,230.0,268.0,852.0,1659.0,1875.0,1817.0,3920.0,182.0,46.0,192.0,104.0,11.0,215.0,218.0,93.0,164.0,197.0,255.0,289.0,155.0,2.0,39.0,223.0
63,0595169Y,Collège Emile Zola,Wattrelos,297.0,79.8,exclusif,356.0,557.0,3.23192,50.70736,7616.0,7616.0,-0.2,0.1,-2.6,3.0,1.8,14.3,-6.4,-12.6,-0.1,0.0,-7.8,-0.9,3.1,7.1,3.9,-5.4,0.5,4.1,-15.7,0.6,1.4,-0.3,-0.3,-0.7,moyen,moyen,b1,moyen,moyen,A1,moyen,b1,moyen,moyen,moyen,moyen,moyen,A2,b1,b2,moyen,moyen,b2,moyen,moyen,moyen,moyen,moyen,12.1,33.4,48.6,14.9,6.5,44.1,31.5,3.1,0.0,2.6,4.3,14.2,19.1,18.5,24.8,16.5,24.2,71.1,10.7,84.0,13.2,0.0,1.7,12.9,2.0,200.0,325.0,1084.0,1452.0,1410.0,1888.0,1255.0,53.0,23.0,157.0,112.0,11.0,43.0,119.0,173.0,86.0,253.0,38.0,299.0,47.0,0.0,6.0,46.0
64,0595328W,Collège Simone de Beauvoir,Villeneuve-d'Ascq,547.0,81.3,exclusif,520.0,819.0,3.13032,50.62943,14028.0,14029.0,13.9,12.9,-25.6,8.5,-0.3,4.0,-7.7,-4.5,-0.1,-0.8,-1.8,0.3,3.7,-0.1,-6.2,4.8,12.6,-16.2,49.6,-14.6,11.7,-0.1,0.1,18.7,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,A2,A2,b2,A1,moyen,moyen,b1,moyen,A2,b2,A2,b2,A2,moyen,moyen,A2,26.2,46.2,25.6,20.4,4.4,33.8,30.2,11.2,0.0,1.8,10.3,15.4,19.7,11.3,14.7,26.7,36.3,50.8,76.0,68.8,23.5,0.2,2.1,32.3,1.0,259.0,1452.0,2167.0,2760.0,1585.0,2057.0,3748.0,106.0,23.0,176.0,157.0,58.0,136.0,240.0,133.0,189.0,264.0,395.0,358.0,122.0,1.0,11.0,168.0
65,0595597N,Collège Voltaire,Wattignies,492.0,117.4,exclusif,238.0,390.0,3.04396,50.58103,4528.0,4528.0,-8.1,-5.6,13.5,-7.3,-3.0,-8.0,11.7,6.6,-0.0,0.8,4.2,4.1,-1.9,-5.4,6.1,-8.0,-8.2,6.1,-18.8,7.8,-3.8,-0.3,-1.6,-2.7,moyen,moyen,moyen,moyen,moyen,b1,A1,b1,b1,b1,A2,b1,moyen,b1,A2,A1,b1,A1,b2,A1,moyen,moyen,moyen,moyen,4.2,27.7,64.7,4.6,1.7,21.8,49.6,22.3,0.1,3.4,16.3,19.2,14.1,6.0,27.0,13.9,15.5,73.1,7.6,91.2,8.0,0.0,0.4,10.9,6.0,153.0,738.0,869.0,639.0,270.0,1224.0,629.0,11.0,4.0,52.0,118.0,53.0,10.0,66.0,154.0,37.0,174.0,18.0,217.0,19.0,0.0,1.0,26.0
66,0595656C,Collège Camille Claudel,Villeneuve-d'Ascq,322.0,108.8,exclusif,204.0,305.0,3.15895,50.6393,6207.0,6208.0,-1.5,9.3,-7.1,-2.1,-0.3,-3.3,-2.1,7.3,-0.1,-0.9,4.7,-0.3,-0.8,-3.4,3.2,-2.4,11.1,0.6,23.6,1.4,0.5,-0.3,-0.5,0.6,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,moyen,moyen,moyen,A1,A2,moyen,A2,moyen,moyen,moyen,moyen,moyen,10.8,42.6,44.1,9.8,4.4,26.5,35.8,23.0,0.0,1.7,16.8,14.8,15.2,8.0,24.1,19.5,34.8,67.6,50.0,84.8,12.3,0.0,1.5,14.2,1.0,108.0,1041.0,916.0,943.0,496.0,1495.0,1208.0,20.0,9.0,54.0,73.0,47.0,22.0,87.0,90.0,71.0,138.0,102.0,173.0,25.0,0.0,3.0,29.0
67,0595713P,Collège Alphonse Daudet,Leers,493.0,111.4,exclusif,1112.0,1673.0,3.24025,50.6761,10696.0,10697.0,-9.1,-5.3,12.7,-5.2,-1.1,3.2,9.6,-6.4,0.1,-0.2,-4.1,2.5,-0.9,0.3,10.8,-8.7,-8.9,11.3,-10.8,8.3,-4.2,-0.3,-1.8,-7.4,moyen,moyen,moyen,moyen,moyen,moyen,A2,b1,b1,b1,A2,b1,moyen,moyen,A1,b1,b1,A2,b2,A1,moyen,moyen,moyen,b1,3.2,28.0,63.9,6.7,3.6,33.0,47.5,9.3,0.2,2.4,8.0,17.6,15.1,11.7,31.7,13.2,14.8,78.3,15.6,91.7,7.6,0.0,0.2,6.2,20.0,261.0,852.0,1886.0,1616.0,1251.0,3395.0,1416.0,74.0,40.0,367.0,528.0,103.0,36.0,311.0,711.0,165.0,871.0,174.0,1020.0,85.0,0.0,2.0,69.0
