,codeuai,NOM_COLLEGE,Nom_commune,effectif,IPS,type_secteur,NB_FOYERS_COLLEGIENS,NB_COLLEGIENS,longitude,latitude,C19_POP15P,C19_POP15ACT,DIFF_LOG0ACT,DIFF_LOG1ACT,DIFF_LOG2ACT,DIFF_DIP0,DIFF_DIPBRE,DIFF_DIPCAP,DIFF_DIPBAC,DIFF_DIPMAS,DIFF_CS1,DIFF_CS2,DIFF_CS3,DIFF_CS4,DIFF_CS5,DIFF_CS6,DIFF_CS7,DIFF_CS8,DIFF_MONOPARENT,DIFF_EMPLOICDI,DIFF_LOGSOCIAL,DIFF_ACTIV_ACTIFS,DIFF_ACTIV_CHOMEURS,DIFF_ACTIV_ETUDIANT_STAGE,DIFF_ACTIV_AU_FOYER,DIFF_IMMIGRES,cat_CS1,cat_CS2,cat_CS3,cat_CS4,cat_CS5,cat_CS6,cat_CS7,cat_CS8,cat_LOG0ACT,cat_LOG1ACT,cat_LOG2ACT,cat_DIP0,cat_DIPBRE,cat_DIPCAP,cat_DIPBAC,cat_DIPMAS,cat_MONOPARENT,cat_EMPLOICDI,cat_LOGSOCIAL,cat_ACTIV_ACTIFS,cat_ACTIV_CHOMEURS,cat_ACTIV_ETUDIANT_STAGE,cat_ACTIV_AU_FOYER,cat_IMMIGRES,%_LOG0ACT,%_LOG1ACT,%_LOG2ACT,%_DIP0,%_DIPBRE,%_DIPCAP,%_DIPBAC,%_DIPMAS,%_CS1,%_CS2,%_CS3,%_CS4,%_CS5,%_CS6,%_CS7,%_CS8,%_MONOPARENT,%_EMPLOICDI,%_LOGSOCIAL,%_ACTIV_ACTIFS,%_ACTIV_CHOMEURS,%_ACTIV_ETUDIANT_STAGE,%_ACTIV_AU_FOYER,%_IMMIGRES,C19_POP15P_CS1,C19_POP15P_CS2,C19_POP15P_CS3,C19_POP15P_CS4,C19_POP15P_CS5,C19_POP15P_CS6,C19_POP15P_CS7,C19_POP15P_CS8,DIPLOM_AUCUN,DIPLOM_BREVET,DIPLOM_CAP_BAC,DIPLOM_BACPRO_BTS_LIC,DIPLOM_MASTER_DOC,ACTIF_LOG_AUCUN,ACTIF_LOG_UN,ACTIF_LOG_DEUX,MONOPARENT,EMPLOICDI,LOGSOCIAL,ACTIV_ACTIFS,ACTIV_CHOMEURS,ACTIV_ETUDIANT_STAGE,ACTIV_AU_FOYER,IMMIGRES
0,0590057S,Collège Paul Eluard,Cysoing,,,exclusif,147.0,232.0,,,1684.0,1684.0,-10.3,-13.6,25.7,-11.9,-4.7,-13.5,5.0,25.1,0.2,1.0,11.1,2.4,-5.8,-6.6,7.7,-10.1,-6.7,5.8,-22.3,13.2,-8.4,-0.3,-2.0,-8.8,moyen,moyen,A2,moyen,b1,b1,A1,b2,b2,b2,A2,b2,moyen,b2,moyen,A2,b1,A1,b2,A2,b1,moyen,moyen,b1,2.0,19.7,76.9,0.0,0.0,16.3,42.9,40.8,0.3,3.6,23.2,17.5,10.2,4.8,28.6,11.8,17.0,72.8,4.1,96.6,3.4,0.0,0.0,4.8,5.0,61.0,391.0,294.0,172.0,81.0,482.0,198.0,0.0,0.0,24.0,63.0,60.0,3.0,29.0,113.0,25.0,107.0,6.0,142.0,5.0,0.0,0.0,7.0
1,0590091D,Collège Lili Keller-Rosenberg,Halluin,526.0,87.4,exclusif,703.0,1097.0,3.12448,50.77536,16373.0,16371.0,-2.5,1.0,-0.3,1.0,1.7,6.2,-0.5,-8.4,-0.0,-0.1,-6.4,-1.5,3.2,6.3,3.2,-4.8,0.5,2.3,-1.6,3.2,-2.4,-0.2,0.3,0.3,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.8,34.3,50.9,12.9,6.4,36.0,37.4,7.3,0.1,2.5,5.7,13.6,19.2,17.7,24.1,17.1,24.2,69.3,24.8,86.6,9.4,0.1,2.3,13.9,20.0,407.0,932.0,2221.0,3142.0,2903.0,3946.0,2800.0,91.0,45.0,253.0,263.0,51.0,69.0,241.0,358.0,170.0,487.0,174.0,609.0,66.0,1.0,16.0,98.0
2,0590115E,Collège Franklin,Lille,467.0,103.5,exclusif,408.0,633.0,3.07041,50.62911,22949.0,22948.0,6.3,6.4,-10.5,1.1,-1.3,-9.7,-7.0,16.9,-0.1,-0.1,12.4,0.1,-4.2,-7.6,-10.3,9.6,9.4,-8.4,15.8,-7.4,1.7,1.7,1.9,17.3,moyen,moyen,A2,moyen,moyen,b1,b2,A1,A1,A1,b2,moyen,moyen,b1,b1,A2,A1,b1,A2,b1,moyen,moyen,moyen,A2,18.6,39.7,40.7,13.0,3.4,20.1,30.9,32.6,0.0,2.5,24.5,15.2,11.8,3.8,10.6,31.5,33.1,58.6,42.2,76.0,13.5,2.0,3.9,30.9,9.0,584.0,5621.0,3477.0,2707.0,877.0,2435.0,7238.0,53.0,14.0,82.0,126.0,133.0,76.0,162.0,166.0,135.0,239.0,172.0,310.0,55.0,8.0,16.0,126.0
3,0590131X,Collège Jean Jaurès,Lille,454.0,86.4,exclusif,458.0,668.0,3.01019,50.64095,13610.0,13610.0,2.8,4.5,-6.2,6.0,1.6,2.5,-2.7,-7.4,-0.1,-1.0,-3.3,0.7,4.6,2.9,0.9,-4.9,6.2,-3.0,25.3,-5.2,4.6,0.4,0.4,1.9,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,A1,moyen,moyen,moyen,b1,A1,moyen,A2,b1,moyen,moyen,moyen,moyen,15.1,37.8,45.0,17.9,6.3,32.3,35.2,8.3,0.0,1.6,8.8,15.8,20.6,14.3,21.8,17.0,29.9,64.0,51.7,78.2,16.4,0.7,2.4,15.5,0.0,223.0,1204.0,2151.0,2809.0,1950.0,2965.0,2308.0,82.0,29.0,148.0,161.0,38.0,69.0,173.0,206.0,137.0,293.0,237.0,358.0,75.0,3.0,11.0,71.0
4,0590155Y,Collège Descartes,Mons-en-Baroeul,405.0,96.7,exclusif,227.0,356.0,3.10708,50.63567,6650.0,6651.0,0.5,-2.5,1.7,-0.9,0.6,2.8,-7.5,5.0,-0.1,-0.1,2.6,-1.4,-2.7,-1.3,1.6,1.3,-8.7,-2.2,-6.6,-1.9,3.6,-0.3,-1.6,12.4,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,b1,moyen,b1,moyen,moyen,moyen,moyen,A2,12.8,30.8,52.9,11.0,5.3,32.6,30.4,20.7,0.0,2.5,14.7,13.7,13.3,10.1,22.5,23.2,15.0,64.8,19.8,81.5,15.4,0.0,0.4,26.0,2.0,166.0,975.0,914.0,882.0,672.0,1496.0,1544.0,25.0,12.0,74.0,69.0,47.0,29.0,70.0,120.0,34.0,147.0,45.0,185.0,35.0,0.0,1.0,59.0
5,0590183D,Collège Sévigné,Roubaix,378.0,62.7,exclusif,390.0,674.0,3.16492,50.69318,10244.0,10245.0,25.6,7.2,-31.7,21.7,2.5,2.3,-15.8,-10.3,-0.1,-0.4,-7.9,-5.0,0.7,5.5,-9.3,16.3,14.5,-27.8,13.6,-28.3,13.1,0.2,7.5,25.6,moyen,moyen,b1,moyen,moyen,A1,b1,A2,A2,A1,b2,A2,moyen,moyen,b2,b2,A2,b2,A2,b2,A2,moyen,A1,A2,37.9,40.5,19.5,33.6,7.2,32.1,22.1,5.4,0.0,2.2,4.2,10.1,16.7,16.9,11.6,38.2,38.2,39.2,40.0,55.1,24.9,0.5,9.5,39.2,3.0,224.0,431.0,1039.0,1715.0,1730.0,1186.0,3917.0,131.0,28.0,125.0,86.0,21.0,148.0,158.0,76.0,149.0,153.0,156.0,215.0,97.0,2.0,37.0,153.0
6,0590190L,Collège Jean Baptiste Lebas,Roubaix,471.0,59.9,exclusif,439.0,776.0,3.18307,50.68102,8955.0,8954.0,23.0,2.9,-25.0,10.7,4.0,8.7,-13.5,-9.8,-0.1,-0.1,-7.0,-4.7,-0.9,4.6,-4.7,12.7,7.1,-21.9,-6.4,-24.6,12.3,-0.3,5.5,16.0,moyen,moyen,b1,moyen,moyen,moyen,moyen,A2,A2,moyen,b2,A2,moyen,A1,b2,b1,A1,b2,b1,b2,A2,moyen,A1,A2,35.3,36.2,26.2,22.6,8.7,38.5,24.4,5.9,0.0,2.5,5.1,10.4,15.1,16.0,16.2,34.6,30.8,45.1,20.0,58.8,24.1,0.0,7.5,29.6,0.0,223.0,458.0,933.0,1354.0,1435.0,1453.0,3098.0,99.0,38.0,169.0,107.0,26.0,155.0,159.0,115.0,135.0,198.0,88.0,258.0,106.0,0.0,33.0,130.0
7,0590271Z,Collège Verlaine,Lille,349.0,77.8,exclusif,268.0,442.0,3.07013,50.61076,6671.0,6670.0,9.0,5.1,-13.9,7.1,1.6,0.1,-10.3,1.5,-0.1,-0.6,-3.4,2.6,-0.1,2.3,-6.0,5.2,0.2,-7.7,22.5,-8.8,9.1,-0.3,-0.9,25.6,moyen,moyen,moyen,moyen,moyen,moyen,b1,A1,A1,A1,b2,A1,moyen,moyen,b2,moyen,moyen,b1,A2,b1,A1,moyen,moyen,A2,21.3,38.4,37.3,19.0,6.3,29.9,27.6,17.2,0.0,2.0,8.7,17.7,15.9,13.7,14.9,27.1,23.9,59.3,48.9,74.6,20.9,0.0,1.1,39.2,1.0,136.0,578.0,1182.0,1062.0,913.0,992.0,1806.0,51.0,17.0,80.0,74.0,46.0,57.0,103.0,100.0,64.0,159.0,131.0,200.0,56.0,0.0,3.0,105.0
8,0592714E,Collège Mendès France,Tourcoing,383.0,68.1,exclusif,662.0,1077.0,3.18949,50.73604,19233.0,19232.0,10.8,5.7,-15.7,9.2,1.6,11.0,-10.4,-11.5,-0.1,-0.8,-9.1,-5.3,1.8,9.6,-0.6,4.4,6.1,-11.6,14.5,-11.0,7.1,0.2,2.2,11.0,moyen,moyen,b1,b1,moyen,A1,moyen,moyen,A2,A1,b2,A1,moyen,A2,b2,b2,A1,b2,A2,b2,A1,moyen,moyen,A2,23.1,39.0,35.5,21.1,6.3,40.8,27.5,4.2,0.0,1.8,3.0,9.8,17.8,21.0,20.3,26.3,29.8,55.4,40.9,72.4,18.9,0.5,4.2,24.6,3.0,353.0,579.0,1879.0,3422.0,4031.0,3902.0,5063.0,140.0,42.0,270.0,182.0,28.0,153.0,258.0,235.0,197.0,367.0,271.0,479.0,125.0,3.0,28.0,163.0
9,0592830F,Collège Jean Zay,Faches-Thumesnil,349.0,87.6,exclusif,279.0,442.0,3.0636,50.60722,6775.0,6776.0,3.1,0.4,-3.2,-1.1,-0.4,5.7,1.2,-4.9,-0.1,0.0,-1.6,2.7,0.8,-0.4,1.0,-2.3,1.4,-1.1,0.8,-2.8,3.3,-0.3,0.2,12.9,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A2,15.4,33.7,48.0,10.8,4.3,35.5,39.1,10.8,0.0,2.6,10.5,17.8,16.8,11.0,21.9,19.6,25.1,65.9,27.2,80.6,15.1,0.0,2.2,26.5,0.0,173.0,709.0,1203.0,1138.0,743.0,1485.0,1325.0,30.0,12.0,99.0,109.0,30.0,43.0,94.0,134.0,70.0,184.0,76.0,225.0,42.0,0.0,6.0,74.0
10,0593168Y,Collège Carnot,Lille,694.0,125.2,exclusif,336.0,478.0,3.0667,50.63975,21281.0,21280.0,-1.0,14.6,-11.3,-4.2,-2.0,-14.3,-2.8,23.3,-0.1,0.0,15.6,2.6,-3.9,-7.9,-10.3,3.9,13.5,-6.6,11.7,0.8,-1.7,0.6,-0.2,5.7,moyen,moyen,A2,moyen,moyen,b1,b2,moyen,moyen,A2,b2,moyen,moyen,b2,moyen,A2,A2,b1,A2,moyen,moyen,moyen,moyen,A1,11.3,47.9,39.9,7.7,2.7,15.5,35.1,39.0,0.0,2.6,27.7,17.7,12.1,3.5,10.6,25.8,37.2,60.4,38.1,84.2,10.1,0.9,1.8,19.3,3.0,548.0,5895.0,3773.0,2578.0,736.0,2266.0,5481.0,26.0,9.0,52.0,118.0,131.0,38.0,161.0,134.0,125.0,203.0,128.0,283.0,34.0,3.0,6.0,65.0
11,0593177H,Collège Jean Zay,Lille,224.0,87.0,exclusif,156.0,242.0,2.9855,50.64775,5028.0,5028.0,3.7,5.2,-7.6,6.0,1.1,0.3,-0.1,-6.7,-0.1,-0.5,-1.6,-0.2,-0.5,-0.2,2.1,0.9,10.3,-2.3,14.0,-5.8,8.1,-0.3,-0.7,0.5,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,A1,moyen,moyen,moyen,b1,A2,moyen,A2,b1,A1,moyen,moyen,moyen,16.0,38.5,43.6,17.9,5.8,30.1,37.8,9.0,0.0,2.1,10.5,14.9,15.5,11.2,23.0,22.8,34.0,64.7,40.4,77.6,19.9,0.0,1.3,14.1,0.0,105.0,528.0,749.0,780.0,563.0,1155.0,1148.0,28.0,9.0,47.0,59.0,14.0,25.0,60.0,68.0,53.0,101.0,63.0,121.0,31.0,0.0,2.0,22.0
12,0593178J,Collège François Rabelais,Mons-en-Baroeul,500.0,84.2,exclusif,385.0,568.0,3.11752,50.64173,9740.0,9741.0,8.5,12.2,-19.5,7.8,1.5,6.8,-9.8,-6.6,-0.1,-0.5,-2.1,-3.3,2.7,2.4,-1.4,2.3,8.0,-14.3,31.8,-11.7,9.2,0.2,0.1,18.9,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,A2,b2,A1,moyen,A1,b1,b1,A1,b2,A2,b2,A1,moyen,moyen,A2,20.8,45.5,31.7,19.7,6.2,36.6,28.1,9.1,0.0,2.1,10.0,11.8,18.7,13.8,19.5,24.2,31.7,52.7,58.2,71.7,21.0,0.5,2.1,32.5,2.0,206.0,972.0,1145.0,1818.0,1341.0,1901.0,2356.0,76.0,24.0,141.0,108.0,35.0,80.0,175.0,122.0,122.0,203.0,224.0,276.0,81.0,2.0,8.0,125.0
13,0593179K,Collège Claude Lévi-Strauss,Lille,491.0,84.0,exclusif,578.0,922.0,3.03674,50.63147,25280.0,25280.0,10.9,8.9,-18.2,6.8,0.1,-4.2,-10.9,8.2,-0.0,-0.6,5.8,-1.4,-3.0,-5.7,-9.8,14.6,10.0,-14.8,30.3,-12.1,8.3,0.0,1.6,18.1,moyen,moyen,A1,moyen,moyen,b1,b1,A2,A2,A1,b2,A1,moyen,moyen,b2,A1,A1,b2,A2,b2,A1,moyen,moyen,A2,23.2,42.2,33.0,18.7,4.8,25.6,27.0,23.9,0.1,2.0,17.9,13.7,13.0,5.7,11.1,36.5,33.7,52.2,56.7,71.3,20.1,0.3,3.6,31.7,15.0,502.0,4529.0,3461.0,3292.0,1434.0,2816.0,9231.0,108.0,28.0,148.0,156.0,138.0,134.0,244.0,191.0,195.0,302.0,328.0,412.0,116.0,2.0,21.0,183.0
14,0593180L,Collège Saint-Exupéry,Lille,828.0,101.3,exclusif,509.0,774.0,3.11821,50.62856,15018.0,15017.0,1.8,7.0,-9.2,2.6,-0.2,0.5,-2.9,-0.2,-0.1,-0.4,2.1,2.3,2.2,-0.7,-4.0,-1.5,5.2,-2.6,7.6,-2.1,2.7,0.1,-0.4,12.3,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,moyen,moyen,moyen,moyen,A1,moyen,A1,moyen,moyen,moyen,moyen,A2,14.1,40.3,42.0,14.5,4.5,30.3,35.0,15.5,0.0,2.2,14.2,17.4,18.2,10.7,16.9,20.4,28.9,64.4,34.0,81.3,14.5,0.4,1.6,25.9,0.0,331.0,2132.0,2617.0,2736.0,1600.0,2542.0,3059.0,74.0,23.0,154.0,178.0,79.0,72.0,205.0,214.0,147.0,328.0,173.0,414.0,74.0,2.0,8.0,132.0
15,0593196D,Collège Arthur Rimbaud,Villeneuve-d'Ascq,663.0,103.7,exclusif,1339.0,2090.0,3.15613,50.61877,19400.0,19399.0,-7.1,-5.7,13.0,-4.3,-1.0,-7.6,4.7,8.2,0.1,-0.1,3.5,0.6,-1.7,-4.2,2.5,-0.8,-5.4,8.6,-9.3,7.4,-4.9,-0.2,-0.9,-4.2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,A2,moyen,moyen,b1,moyen,A1,b1,A1,b1,A1,moyen,moyen,moyen,moyen,5.2,27.6,64.2,7.6,3.7,22.2,42.6,23.9,0.2,2.5,15.6,15.7,14.3,7.2,23.4,21.1,18.3,75.6,17.1,90.8,6.9,0.1,1.1,9.4,34.0,479.0,3021.0,3055.0,2772.0,1395.0,4544.0,4099.0,102.0,50.0,297.0,570.0,320.0,70.0,369.0,860.0,245.0,1012.0,229.0,1216.0,92.0,1.0,15.0,126.0
16,0593226L,Collège Anne Frank,Lambersart,477.0,123.9,exclusif,452.0,707.0,3.028,50.64851,10785.0,10785.0,-3.5,-2.3,5.7,-6.6,-0.1,-12.1,1.9,17.0,-0.0,0.4,8.2,0.4,-3.9,-5.3,4.7,-4.5,1.1,-0.2,-1.0,4.7,-3.2,0.1,-0.7,-1.0,moyen,moyen,A1,moyen,moyen,b1,moyen,moyen,moyen,moyen,A1,b1,moyen,b2,moyen,A2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,8.8,31.0,56.9,5.3,4.6,17.7,39.8,32.7,0.1,3.0,20.3,15.5,12.1,6.1,25.6,17.4,24.8,66.8,25.4,88.1,8.6,0.4,1.3,12.6,10.0,328.0,2185.0,1671.0,1303.0,653.0,2760.0,1875.0,24.0,21.0,80.0,180.0,148.0,40.0,140.0,257.0,112.0,302.0,115.0,398.0,39.0,2.0,6.0,57.0
17,0593227M,Collège du Lazaro,Marcq-en-Baroeul,578.0,114.9,exclusif,649.0,1027.0,3.08594,50.67807,17668.0,17669.0,-5.8,-1.3,8.1,-7.3,-2.7,-13.2,-2.8,26.1,-0.0,1.5,9.5,-0.4,-5.7,-6.9,7.4,-5.4,-4.9,2.0,-13.6,6.4,-3.6,-0.1,-1.1,-3.3,moyen,moyen,A1,moyen,b1,b1,A1,b1,b1,moyen,A1,b1,moyen,b2,moyen,A2,moyen,moyen,b2,A1,moyen,moyen,moyen,moyen,6.5,32.0,59.3,4.6,2.0,16.6,35.1,41.8,0.1,4.1,21.6,14.7,10.3,4.5,28.3,16.5,18.8,69.0,12.8,89.8,8.2,0.2,0.9,10.3,9.0,720.0,3825.0,2591.0,1825.0,788.0,4997.0,2914.0,30.0,13.0,108.0,228.0,271.0,42.0,208.0,385.0,122.0,448.0,83.0,583.0,53.0,1.0,6.0,67.0
18,0593228N,Collège Jean Moulin,Saint-André-lez-Lille,410.0,114.5,exclusif,322.0,480.0,3.04855,50.65803,10602.0,10603.0,-5.5,6.8,-0.3,-1.7,0.0,-6.8,7.1,1.4,-0.1,-0.4,3.9,5.5,0.6,-2.4,1.0,-8.2,7.0,5.7,1.6,4.8,-2.8,-0.3,-1.7,-1.5,moyen,moyen,moyen,A1,moyen,moyen,moyen,b1,b1,A1,moyen,moyen,moyen,b1,A1,moyen,A1,A1,moyen,moyen,moyen,moyen,moyen,moyen,6.8,40.1,50.9,10.2,4.7,23.0,45.0,17.1,0.0,2.2,16.0,20.6,16.6,9.0,21.9,13.7,30.7,72.7,28.0,88.2,9.0,0.0,0.3,12.1,5.0,231.0,1701.0,2181.0,1755.0,956.0,2325.0,1449.0,33.0,15.0,74.0,145.0,55.0,22.0,129.0,164.0,99.0,234.0,90.0,284.0,29.0,0.0,1.0,39.0
19,0593231S,Collège Albert Schweitzer,La Bassée,843.0,96.8,exclusif,1849.0,2828.0,2.81116,50.53522,16000.0,16000.0,-4.8,-4.9,8.8,-4.3,-1.0,5.0,3.2,-2.9,0.4,0.4,-3.0,2.4,1.3,0.7,3.2,-5.5,-4.7,5.6,-9.8,5.6,-3.5,-0.1,-0.9,-11.7,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,A1,moyen,moyen,moyen,b2,7.5,28.4,60.0,7.6,3.7,34.8,41.1,12.8,0.5,3.0,9.1,17.5,17.3,12.1,24.1,16.4,19.0,72.6,16.6,89.0,8.3,0.2,1.1,1.9,77.0,473.0,1457.0,2801.0,2769.0,1943.0,3855.0,2625.0,141.0,68.0,643.0,760.0,237.0,138.0,525.0,1109.0,351.0,1342.0,307.0,1646.0,153.0,4.0,21.0,35.0
20,0593233U,Collège professeur Albert Debeyre,Loos,366.0,93.7,exclusif,324.0,490.0,3.02123,50.61198,11653.0,11652.0,2.5,9.3,-11.7,3.5,-0.4,0.8,0.7,-4.6,-0.0,-0.1,-2.0,2.6,1.8,-0.3,-2.9,0.8,7.8,-2.2,11.3,-6.5,5.5,0.0,-0.5,8.6,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,b2,moyen,moyen,moyen,moyen,moyen,A1,moyen,A2,b1,A1,moyen,moyen,A1,14.8,42.6,39.5,15.4,4.3,30.6,38.6,11.1,0.1,2.5,10.1,17.7,17.8,11.1,18.0,22.7,31.5,64.8,37.7,76.9,17.3,0.3,1.5,22.2,8.0,286.0,1182.0,2066.0,2073.0,1297.0,2092.0,2648.0,50.0,14.0,99.0,125.0,36.0,48.0,138.0,128.0,102.0,210.0,122.0,249.0,56.0,1.0,5.0,72.0
21,0593234V,Collège Albert Ball,Annoeullin,642.0,112.7,exclusif,1183.0,1770.0,2.93183,50.53341,13353.0,13353.0,-6.5,-6.8,12.3,-5.3,-0.1,-2.3,10.9,-3.1,0.2,-0.2,-3.1,2.7,0.9,-0.5,2.5,-2.5,-4.8,10.2,-13.6,7.5,-5.4,0.3,-1.2,-10.8,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,A2,b1,moyen,moyen,A2,moyen,moyen,A2,b2,A1,b1,moyen,moyen,b2,5.8,26.5,63.5,6.6,4.6,27.5,48.8,12.6,0.3,2.4,9.0,17.8,16.9,10.9,23.4,19.4,18.9,77.2,12.8,90.9,6.4,0.6,0.8,2.8,35.0,317.0,1201.0,2380.0,2250.0,1461.0,3125.0,2584.0,78.0,54.0,325.0,577.0,149.0,69.0,314.0,751.0,223.0,913.0,152.0,1075.0,76.0,7.0,10.0,33.0
22,0593235W,Collège Boris Vian,Lille,472.0,85.2,exclusif,336.0,538.0,3.09413,50.63058,11814.0,11815.0,11.5,5.4,-14.3,2.7,0.1,-1.2,-6.9,5.4,-0.1,-0.2,2.6,0.1,1.5,-1.8,-7.4,5.2,11.1,-15.5,11.4,-14.1,11.1,0.3,0.1,15.9,moyen,moyen,moyen,moyen,moyen,moyen,b1,A1,A2,A1,b2,moyen,moyen,moyen,b1,A1,A2,b2,A2,b2,A2,moyen,moyen,A2,23.8,38.7,36.9,14.6,4.8,28.6,31.0,21.1,0.0,2.4,14.7,15.2,17.5,9.6,13.5,27.1,34.8,51.5,37.8,69.3,22.9,0.6,2.1,29.5,0.0,278.0,1731.0,1801.0,2072.0,1134.0,1598.0,3201.0,49.0,16.0,96.0,104.0,71.0,80.0,130.0,124.0,117.0,173.0,127.0,233.0,77.0,2.0,7.0,99.0
23,0593237Y,Collège Gernez Rieux,Ronchin,488.0,91.9,exclusif,375.0,586.0,3.09079,50.59831,8692.0,8691.0,1.6,3.0,-3.5,3.0,0.1,-3.4,2.6,-2.4,-0.1,0.1,-1.4,0.6,2.8,-0.7,2.3,-3.7,0.6,-3.3,5.3,-1.5,1.8,0.0,-0.9,11.2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,A2,13.9,36.3,47.7,14.9,4.8,26.4,40.5,13.3,0.0,2.7,10.7,15.7,18.8,10.7,23.2,18.2,24.3,63.7,31.7,81.9,13.6,0.3,1.1,24.8,3.0,231.0,928.0,1366.0,1635.0,934.0,2016.0,1578.0,56.0,18.0,99.0,152.0,50.0,52.0,136.0,179.0,91.0,239.0,119.0,307.0,51.0,1.0,4.0,93.0
24,0593239A,Collège Boris Vian,Croix,539.0,92.0,exclusif,585.0,917.0,3.14996,50.68344,17178.0,17178.0,0.5,3.6,-2.3,-0.8,-0.4,-3.5,1.9,2.8,-0.0,0.2,2.2,1.6,-1.5,-2.0,2.8,-3.3,4.0,-3.6,-4.5,-1.0,0.3,0.2,0.6,-2.0,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,12.8,36.9,48.9,11.1,4.3,26.3,39.8,18.5,0.1,2.8,14.3,16.7,14.5,9.4,23.7,18.6,27.7,63.4,21.9,82.4,12.1,0.5,2.6,11.6,9.0,475.0,2448.0,2863.0,2492.0,1619.0,4071.0,3201.0,65.0,25.0,154.0,233.0,108.0,75.0,216.0,286.0,162.0,371.0,128.0,482.0,71.0,3.0,15.0,68.0
25,0593240B,Collège Gambetta,Lys-lez-Lannoy,669.0,92.2,exclusif,1036.0,1581.0,3.21542,50.67871,16506.0,16505.0,-3.1,-2.1,5.4,-2.3,-0.2,0.3,4.2,-1.9,0.1,0.3,-2.9,1.0,1.7,1.6,4.6,-6.4,-1.4,3.1,-5.6,3.6,-1.8,-0.2,-0.6,-7.4,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,moyen,moyen,b1,9.2,31.2,56.6,9.6,4.5,30.1,42.1,13.8,0.2,2.9,9.2,16.1,17.7,13.0,25.5,15.5,22.3,70.1,20.8,87.0,10.0,0.1,1.4,6.2,33.0,478.0,1515.0,2662.0,2920.0,2140.0,4203.0,2554.0,99.0,47.0,312.0,436.0,143.0,95.0,323.0,586.0,231.0,726.0,216.0,901.0,104.0,1.0,14.0,64.0
26,0593241C,Collège Albert Calmette,Wasquehal,391.0,103.6,exclusif,544.0,822.0,3.12616,50.66884,16832.0,16832.0,-2.4,1.1,0.6,-2.0,-0.7,-4.2,-0.2,7.1,-0.1,0.5,4.6,1.2,-1.3,-3.2,5.1,-6.9,0.2,1.2,3.0,2.1,-1.1,0.8,-1.1,-0.9,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.9,34.4,51.8,9.9,4.0,25.6,37.7,22.8,0.0,3.1,16.7,16.3,14.7,8.2,26.0,15.0,23.9,68.2,29.4,85.5,10.7,1.1,0.9,12.7,0.0,520.0,2818.0,2738.0,2482.0,1377.0,4371.0,2526.0,54.0,22.0,139.0,205.0,124.0,54.0,187.0,282.0,130.0,371.0,160.0,465.0,58.0,6.0,5.0,69.0
